"kappa_value","perc_agree","childid","listener"
0.645754663840476,78.5151856017998,"274","L1"
0.781133207648957,85.6060606060606,"340","L1"
0.781583168285976,85.7048748353096,"340","L3"
0.527126286866073,71.3801862828112,"530","L2"
